article,content
A-J 1,pope renews call for gaza ceasefire release of captive in easter address Pope Francis say his thought go to those face war especially child who have forget how to smile pope francis have renew call for an immediate ceasefire in gaza and the release of all israeli captive in a peace focused address mark easter sunday the most important day on the christian calendar
A-J 2,biden be still the good us president israel could wish for the meaningless ceasefire resolution his administration allow the UN Security Council to pass should not fool anyone united states president ronald reagan  order to israeli prime minister menachem begin to put an end to his holocaust in lebanon be perhaps the well know political anecdote from israel  invasion
A-J 3,israeli air strike continue across gaza as truce talk struggle israeli strike continue to kill Palestinians as PM Netanyahu face pressure from all side over ceasefire proposal the israeli military have launch more air strike across the gaza strip to deadly effect as official discuss the late propose deal to end hostility and exchange prisoner
A-J 4,police remove pro palestinian student from paris  sciences po university student stage sit in and hunger strike at the french university leave campus without incident french police officer enter the paris institute of political study sciences po in paris and remove pro palestinian student activist who have occupy its building to protest israel  war on gaza
A-J 5,mass grave find at southern gaza hospital raid by israeli force search team in Gaza say they have uncover hundred of body in the ground of Nasser Medical Complex in the city of Khan Younis the hospital be raid by israeli force before their recent withdrawal from the area
A-J 6,israel  war on gaza list of key event day United Nations chief say Israel  military campaign in Gaza have bring relentless death and destruction here be how thing stand on saturday april
A-J 7,relative of gaza captive protest in cage Relatives of Gaza captive lock themselves in cage and block road in Tel Aviv call on israeli Prime Minister Benjamin Netanyahu to reach a deal to release their love one
A-J 8,icj rule israel must stop rafah operation what be next the International Court of Justice have issue a legally binding order for Israel to halt its invasion of Rafah the international court of justice call on israel to end its operation in rafah the southernmost town in gaza
A-J 9,israel in gaza palestinian fighter in israel what the un accuse they of Commission of Inquiry accuse Israel and palestinian group of war crime here be a breakdown a united nations back inquiry have conclude that war crime have be commit by israel and by hama as well as other palestinian group during the now month conflict
A-J 10,uncovering of mass grave at gaza  nasser hospital what you need to know More than body retrieve from of the large hospital in Gaza after israeli siege end this month the discovery of a mass grave inside the nasser medical complex in khan younis in the southern gaza strip this week have be meet with grief and horror from palestinians and have draw condemnation from the united nations and call for a transparent and credible investigation
A-J 11,uk will not block arm sale to israel say foreign minister david cameron british government be come under grow pressure to halt weapon supply to Israel as it continue its war on Gaza the united kingdom will not halt arm sale to israel by british company after review the late legal advice on the matter foreign minister david cameron have say
A-J 12,hamas fire rocket at israel  tel aviv cause siren for month the israeli army have say that rocket be fire from Gaza target central Israel include Tel Aviv hamas say it have launch rocket at tel aviv prompt siren to sound in the israeli city for the time in several month
A-J 13,pakistani activist heckle german ambassador over gaza Activists in Pakistan call out the german ambassador  allege hypocrisy for speak at a human right forum while Germany stifle criticism of Israel  assault on Gaza the pro palestinian demonstrator be quickly remove from the Asma Jahangir Conference by authority
A-J 14,how israel push dot red line to have its way in rafah Israel have ignore call from its western ally not to conduct a major operation in Rafah and face no consequence israeli tank have roll into rafah  city centre and its army announce that it now control the entire philadelphi corridor the strip of land that run along egypt  border with gaza  rafah governorate
A-J 15,hezbollah say will keep fight if israel press on with assault on gaza Hezbollah chief Nasrallah say support for Gaza be final as cross border fighting displace thousand of people the head of powerful lebanese armed group hezbollah say that resident of northern israel would not be able to return home for the start of the next school year if their government press on with its assault on the gaza strip
A-J 16,gaza ceasefire talk end in cairo with no substantial answer or solution Hamas say negotiation to continue next week even as Israel thwart deal to secure day truce before Ramadan hamas say its delegation have leave egypt but talk on a ceasefire in the gaza strip will continue next week until an agreement be reach with israel whom the palestinian group say have thwart mediator attempt to broker a deal before the muslim holy month of ramadan
A-J 17,timeline the biden administration on gaza in its own word Al Jazeera look at Washington  main statement and position on Israel  war in Gaza and how policy shift over time washington dc as israel  war in gaza prompt mount human right concern the united states have slowly notch up criticism of the israeli government while simultaneously continue to arm and support its ally
A-J 18,what happen when israel attack rafah Israel have attack twice since Sunday kill ten of people in horrific circumstance out of people kill by israel in an air strike on the so call safe area of al mawasi be civilian woman and girl al jazeera  hind khoudary report on tuesday
A-J 19,israel attack un run school in central gaza kill at least Government spokesman say Al Aqsa Hospital at time its clinical capacity as dead and wound continue to arrive an israeli air attack on a un run school shelter displace palestinians in central gaza  nuseirat camp kill at least people mainly woman and child accord to local government official
A-J 20,silence the gun say un chief in speech mark month of war on gaza Israel  military campaign have bring relentless death and destruction for people in Palestine say UN Secretary General Antonio Guterres in a speech mark month of war in Gaza Guterres say nothing can justify the collective punishment take place there
A-J 21,israel  war on gaza list of key event day mass grave be discover in Gaza on Monday at al Shifa Hospital and the in Beit Lahiya here be how thing stand on tuesday april
A-J 22,we set to impose sanction on israeli military unit over abuse report israeli prime minister say he will fight any sanction target israeli military unit for allege right violation israeli prime minister benjamin netanyahu have say he would fight against any sanction be impose on israeli military unit for allege right violation after a united states media outlet report that washington be plan such a step
A-J 23,al jazeera journalist free after hour arrest by israeli force in gaza Media watchdog decry Ismail al Ghoul  arrest from al Shifa Hospital where thousand of civilian be trap al jazeera arabic correspondent ismail al ghoul have be release after be arrest for hour and severely beat by israeli force in gaza city  al shifa hospital
A-J 24,the theatric of genocidal impunity Germany and the US be render a draft resolution on the bosnian genocide meaningless with their position on Gaza on may a draft resolution be submit to the united nations general assembly unga to declare july a day of remembrance for the srebrenica genocide the document be put forward by germany and rwanda and co sponsor by the united states and other country it will be debate and vote on during a unga session on may
A-J 25,israeli military spokesman  hamas defeat remark widen rift with netanyahu Daniel Hagari go against Netanyahu by say that identify the impossible task of defeat Hamas as Israel  end goal in Gaza mean throw sand in people  eye al jazeera be report from outside israel because it have be ban by the israeli government
A-J 26,un report on israel hamas murder starvation gender base violence the israeli government and palestinian group include Hamas have commit war crime during the war on Gaza accord to a report from the UN Commission of Inquiry it detail a long list of offence include the use of extermination starvation indiscriminate attack siege warfare and sexual and other gender base violence
A-J 27,we and uk air strike hit yemen houthi run tv report attack target Hodeidah  airport and region north of Sanaa Al Masirah TV say as Houthis continue Red Sea attack the united states and united kingdom have carry out air strike against target in yemen a houthi run television station report as the yemeni group target ship lane in the red sea
A-J 28,palestinian girl rescue from rubble after israeli attack in gaza Video show the rescue of palestinian girl who have be trap under rubble after an israeli attack in Gaza as she be free from the debris the child be see ask for her mother who die in the attack accord to witness
A-J 29,photo palestinians in gaza prepare for eid amid death and destruction Israel  assault on the Gaza Strip have place a pall over Eid celebration for Palestinians this year the shadow of continued israeli attack on the gaza strip loom large over palestinians as they prepare for the muslim holiday of eid al fitr mark the end of the fast month of ramadan
A-J 30,israel  war on gaza list of key event day as the world celebrate International Women  Day Gaza  Health Ministry provide an update on the challenge face woman in the Gaza Strip here be how thing stand on friday march
A-J 31,they would have to kill I a symbol of coexistence no more on march ayman shaer find himself lie on the ground in the ancient square of sebastia bleed and in unbearable pain
A-J 32,hundred of student arrest in us gaza war protest scuffle at ucla Police out in full force some use chemical irritant and taser to disperse student as more university join movement hundred of student have be arrest across university in the united states with scuffle report between pro israeli and pro palestinian demonstrator at ucla as rally for a ceasefire in gaza and divestment from company link to israel spread across us campus
A-J 33,how gaza  child be prepare for israel  invasion of rafah I close up as an israeli ground assault on Gaza  last safe zone loom child in Rafah brace for it we be afraid people will resort to kill each other for food year old husam say as he recount his daily battle to secure basic necessity like food water and sanitation in rafah during the israel hamas war
A-J 34,uk australia call for immediate end to fighting in gaza country warn of potentially devastating consequence if Israel push ahead with ground offensive in Rafah australia and the united kingdom have call for an immediate cessation of fight in gaza warn of potentially devastating consequence if israel go ahead with a plan ground assault on the southern city of rafah
A-J 35,israel  war on gaza update un overwhelmingly vote for palestine right Resolution call on UN Security Council to favourably reconsider Palestine  request to become the member of the United Nations this live page be now close you can continue to follow our coverage of the war in gaza here
